symbol,date,type,price,shares,equity_before,equity_after
CCL,2025-08-15 04:00:00+00:00,buy,29.76,408.0,12158.0,12158.0
CCL,2025-09-18 04:00:00+00:00,sell,31.445,408.0,15.920000000000073,12845.48
CCL,2025-10-22 04:00:00+00:00,buy,30.0,428.0,12845.48,12845.48
CCL,2025-10-30 04:00:00+00:00,sell,28.33,428.0,5.479999999999563,12130.72
CCL,2025-12-10 05:00:00+00:00,buy,26.28,461.0,12130.72,12130.72
CCL,2026-01-15 05:00:00+00:00,sell,29.43,461.0,15.639999999999418,13582.869999999999
CCL,2026-02-02 05:00:00+00:00,buy,32.45,418.0,13582.869999999999,13582.869999999999
CCL,2026-02-24 05:00:00+00:00,sell,31.61,418.0,18.769999999998618,13231.749999999998
CCL,2026-04-02 04:00:00+00:00,buy,25.665,515.0,13231.749999999998,13231.749999999998
FLS,2025-06-26 04:00:00+00:00,buy,51.85,192.0,10000.0,10000.0
FLS,2025-08-06 04:00:00+00:00,sell,53.76,192.0,44.79999999999927,10366.72
FLS,2025-08-27 04:00:00+00:00,buy,54.89,188.0,10366.72,10366.72
FLS,2025-09-26 04:00:00+00:00,sell,54.04,188.0,47.399999999999636,10206.92
FLS,2025-10-24 04:00:00+00:00,buy,53.405,191.0,10206.92,10206.92
FLS,2025-11-21 05:00:00+00:00,sell,67.72,191.0,6.565000000000509,12941.085000000001
FLS,2025-11-26 05:00:00+00:00,buy,70.69,183.0,12941.085000000001,12941.085000000001
FLS,2025-12-18 05:00:00+00:00,sell,69.65,183.0,4.815000000000509,12750.765000000001
FLS,2026-01-07 05:00:00+00:00,buy,71.85,177.0,12750.765000000001,12750.765000000001
FLS,2026-03-04 05:00:00+00:00,sell,82.995,177.0,33.31500000000233,14723.430000000004
FLS,2026-04-07 04:00:00+00:00,buy,77.415,190.0,14723.430000000004,14723.430000000004
