symbol,timestamp,open,high,low,close,volume,trade_count,vwap,SMA_20,EMA_20,RSI_14,MACD,MACD_SIGNAL,MACD_HIST,ATR_14
SPY,2023-01-03 05:00:00,384.37,386.43,377.831,380.82,74850731.0,590240.0,380.745269,,,,,,,
SPY,2023-01-04 05:00:00,383.18,385.88,380.0,383.76,85934098.0,632808.0,383.265078,,,,,,,
SPY,2023-01-05 05:00:00,381.72,381.84,378.76,379.38,76970456.0,530899.0,380.035868,,,,,,,
SPY,2023-01-06 05:00:00,382.61,389.25,379.4127,388.08,104026233.0,685781.0,385.902328,,,,,,,
SPY,2023-01-09 05:00:00,390.37,393.7,387.67,387.86,73978071.0,549428.0,390.656766,,,,,,,
SPY,2023-01-10 05:00:00,387.25,390.65,386.27,390.58,65358094.0,471959.0,389.040646,,,,,,,
SPY,2023-01-11 05:00:00,392.23,395.6,391.38,395.52,68881080.0,452704.0,393.616153,,,,,,,
SPY,2023-01-12 05:00:00,396.67,398.485,392.42,396.96,90157699.0,665043.0,396.309109,,,,,,,
SPY,2023-01-13 05:00:00,393.62,399.1,393.34,398.5,63859516.0,467201.0,396.718299,,,,,,,
SPY,2023-01-17 05:00:00,398.48,400.23,397.06,397.77,62677281.0,437654.0,398.242945,,,,,,,
SPY,2023-01-18 05:00:00,399.01,400.12,391.28,391.49,99632262.0,642981.0,394.70018,,,,,,,
SPY,2023-01-19 05:00:00,389.36,391.08,387.26,388.64,86958919.0,548675.0,389.190535,,,,,,,
SPY,2023-01-20 05:00:00,390.1,396.04,388.38,395.88,91540638.0,504225.0,392.969496,,,,,,,
SPY,2023-01-23 05:00:00,396.72,402.645,395.72,400.63,84178797.0,568459.0,400.082313,,,,,,,
SPY,2023-01-24 05:00:00,398.88,401.15,397.64,400.2,59524911.0,434104.0,399.84265,,,69.71114727420668,,,,5.881428571428578
SPY,2023-01-25 05:00:00,395.95,400.7,393.56,400.35,84800251.0,583223.0,397.312324,,,69.81034966780003,,,,5.9713265306122505
SPY,2023-01-26 05:00:00,403.13,404.92,400.03,404.75,72287425.0,521284.0,402.67866,,,72.64099659264126,,,,5.894088921282807
SPY,2023-01-27 05:00:00,403.655,408.16,403.44,405.68,68270538.0,494449.0,405.931049,,,73.21270094775298,,,,5.8102254269054665
SPY,2023-01-30 05:00:00,402.8,405.13,400.28,400.59,74202018.0,514525.0,402.146956,,,65.18422269562933,,,,5.780923610697935
SPY,2023-01-31 05:00:00,401.13,406.53,400.77,406.48,86811786.0,512621.0,404.063925,394.6960000000001,394.6960000000001,69.36999898226385,,,,5.792286209933797
SPY,2023-02-01 05:00:00,405.211,413.67,402.35,410.8,101459155.0,833210.0,407.75213,396.1950000000001,396.22971428571435,72.02644343513883,,,,6.18712290922424
SPY,2023-02-02 05:00:00,414.86,418.31,412.88,416.78,101654463.0,724700.0,415.630859,397.8460000000001,398.18688435374156,75.22901683780519,,,,6.281614129993938
SPY,2023-02-03 05:00:00,411.59,416.97,411.09,412.35,94630250.0,662995.0,413.730363,399.49450000000013,399.5357525105281,68.93300091990713,,,,6.2529274064229465
SPY,2023-02-06 05:00:00,409.79,411.29,408.1,409.83,60295325.0,461546.0,409.912605,400.5820000000001,400.51615703333493,65.57117740085565,,,,6.109861163107022
SPY,2023-02-07 05:00:00,408.87,416.49,407.57,415.19,90990745.0,695519.0,411.944012,401.9485000000001,401.913665887303,69.03078509128542,,,,6.310585365742235
SPY,2023-02-08 05:00:00,413.13,414.53,409.93,410.65,76227462.0,529228.0,411.627628,402.9520000000001,402.7456977075599,63.23468607122731,,,,6.235543553903503
SPY,2023-02-09 05:00:00,414.41,414.57,405.81,407.09,78694859.0,566609.0,409.784453,403.53050000000013,403.1594407830304,59.0479405249042,,,,6.415861871481824
SPY,2023-02-10 05:00:00,405.86,408.44,405.01,408.04,70726597.0,488396.0,406.937113,404.0845000000001,403.62425594655133,59.812602291253135,,,,6.202586023518838
SPY,2023-02-13 05:00:00,408.72,412.97,408.24,412.83,64913539.0,426599.0,411.58948,404.8010000000001,404.5009934754512,63.512071586239735,,,,6.111687021838921
SPY,2023-02-14 05:00:00,411.24,415.05,408.511,412.64,88389313.0,627808.0,411.963394,405.5445000000001,405.27613695397963,63.26329807141754,,,,6.142209377421854
SPY,2023-02-15 05:00:00,410.35,414.06,409.47,413.98,61685279.0,427502.0,412.009387,406.66900000000015,406.10507629169587,64.32463237559364,,,,6.0313372790345765
SPY,2023-02-16 05:00:00,408.79,412.91,408.14,408.28,76431469.0,583413.0,410.355226,407.6510000000001,406.3122118829629,56.806578861543564,,,,6.017670330532108
SPY,2023-02-17 05:00:00,406.06,407.51,404.05,407.26,89166502.0,561230.0,405.822796,408.22000000000014,406.4024774179188,55.555273263546354,,,,5.889979592636955
SPY,2023-02-21 05:00:00,403.06,404.16,398.82,399.09,82655924.0,559129.0,400.691052,408.14300000000014,405.70605099716465,46.68479945007767,4.554849795241694,7.070477243957182,-2.515627448715488,6.072123907448601
SPY,2023-02-22 05:00:00,399.52,401.13,397.02,398.54,83742293.0,568097.0,398.939363,408.0600000000001,405.0235699498156,46.150574754318455,3.4854115715867238,6.35346410948309,-2.868052537896366,5.9319721997737025
SPY,2023-02-23 05:00:00,401.56,402.2,396.25,400.66,96242399.0,740996.0,399.539795,408.0755000000001,404.607991859357,48.59250234621817,2.7769296405569435,5.638157215697861,-2.8612275751409175,5.933259899789866
SPY,2023-02-24 05:00:00,395.42,397.25,393.64,396.38,108144871.0,753684.0,395.377676,407.6570000000001,403.8243735870373,44.231594615141375,1.8487807813107224,4.880281928820433,-3.0315011475097107,6.010884192662021
SPY,2023-02-27 05:00:00,399.87,401.29,396.75,397.73,80444736.0,592301.0,398.74887,407.2595000000001,403.2439570549385,45.881385818012156,1.2082222074704418,4.145869984550435,-2.9376477770799934,5.932249607471879
SPY,2023-02-28 05:00:00,397.23,399.28,396.15,396.26,96438567.0,600688.0,397.587043,407.0430000000001,402.5788182878015,44.34310677319949,0.5753262056585413,3.4317612287720562,-2.856435023113515,5.732088921223887
SPY,2023-03-01 05:00:00,395.41,396.69,393.38,394.74,99706823.0,699148.0,394.998211,406.45600000000013,401.83226416515373,42.747165677993436,-0.04834247046932205,2.7357404889237804,-2.7840829593931025,5.559082569707895
